id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2318,Casa Madrona - Urban Oasis 1 block from the park!,2536,Megan,Central Area,Madrona,47.61094,-122.29286,Entire home/apt,449,7,35,2021-08-07,0.61,1,204,3,STR-OPLI-19-002837
6606,"Fab, private seattle urban cottage!",14942,Joyce,Other neighborhoods,Wallingford,47.65444,-122.33629,Entire home/apt,99,3,157,2021-09-14,2.42,1,0,8,str-opli-19-002622
9419,Glorious sun room w/ memory foambed,30559,Angielena,Other neighborhoods,Georgetown,47.55017,-122.31937,Private room,75,2,153,2021-07-27,1.13,9,344,5,STR-OPLI-19-003039
9531,The Adorable Sweet Orange Craftsman,31481,Cassie,West Seattle,Fairmount Park,47.55495,-122.38663,Entire home/apt,174,3,49,2021-09-07,0.55,2,265,9,STR-OPLI-19-002182
9534,The Coolest Tangerine Dream MIL!,31481,Cassie,West Seattle,Fairmount Park,47.55627,-122.38607,Entire home/apt,145,5,58,2021-04-25,0.57,2,122,5,STR-OPLI-19-002182
9909,Luna Lower - West Seattle,33360,Laura,West Seattle,Fairmount Park,47.56612,-122.37273,Entire home/apt,90,30,77,2021-09-05,1.41,10,282,3,19-000033
10209,Cozy West Seattle Home,31553,Mike & Cassandra,Delridge,High Point,47.5525,-122.36337,Private room,75,5,43,2021-07-01,0.31,5,294,4,STR-OPLI-19-001095
17229,Cozy West Seattle Home 2,31553,Mike & Cassandra,Delridge,High Point,47.55169,-122.36494,Private room,50,5,25,2021-08-14,0.21,5,207,2,STR-OPLI-19-001095
25002,"Beautiful, Private Spot in Quiet Ballard",102684,Amanda,Ballard,Whittier Heights,47.67947,-122.37196,Entire home/apt,79,2,877,2021-09-19,11.87,1,134,60,STR-OPLI-19-002617
30712,Cozy Ballard Apartment,107605,Al,Ballard,Loyal Heights,47.67843,-122.38207,Entire home/apt,67,30,97,2020-03-17,0.85,2,328,0,STR-OPLI-19-002891
41401,Home Away From Home - MIL Suite,180441,Pina,Beacon Hill,Mid-Beacon Hill,47.55991,-122.31195,Entire home/apt,95,30,28,2017-05-06,0.23,1,267,0,
68508,"Private Entry 180º Views City, Mountains & Lake",340192,Angela,Cascade,Eastlake,47.63815,-122.32344,Entire home/apt,151,30,0,,,2,109,0,STR-OPLI-19-002747
116221,"Modern, Light-Filled Fremont Flat",587302,Danni,Other neighborhoods,Fremont,47.65474,-122.35546,Entire home/apt,75,90,46,2021-07-30,0.37,1,186,3,
117165,Suite+Office in Gorgeous View Home,559827,Judith,West Seattle,Alki,47.57063,-122.4065,Private room,100,2,143,2021-06-01,1.76,2,260,2,STR-OPLI-19-002463
119103,Teeny Tiny Guestyhouse!,601600,Hal,Other neighborhoods,Fremont,47.65244,-122.35108,Entire home/apt,79,3,442,2021-09-21,3.59,2,311,37,STR-OPLI-19-000772
132120,Mother-in-Law Apartment in Seattle,378445,Ralph,Other neighborhoods,Wallingford,47.66938,-122.33516,Entire home/apt,75,30,126,2020-08-03,1.62,1,267,0,STR-OPLI-19-001229
132160,Green Lake Guest Suite with Infrared Sauna,558743,Natalie,Other neighborhoods,Green Lake,47.68205,-122.34275,Entire home/apt,188,3,322,2021-09-23,3.65,1,0,32,STR-OPLI-19-000659
140331,Metrobilly Retreat,683617,Jana,Central Area,Harrison/Denny-Blaine,47.62023,-122.29142,Private room,65,30,163,2021-08-22,2.58,1,263,6,STR-OPLI-19-003314
151545,Beautiful Water View Condo near UW + Eastlake!,306615,Tara,Capitol Hill,Portage Bay,47.65062,-122.32008,Entire home/apt,249,60,45,2021-08-19,1.24,3,108,7,STR-OPLI-19-002004
170273,Three Bedroom Historic Home near Kraken Arena with Tickets,804996,Nadine,Queen Anne,Lower Queen Anne,47.62734,-122.35793,Entire home/apt,750,3,260,2020-03-14,6.07,1,170,0,STR-OPLI-19-001452
202251,Seattle Phinney Ridge Ballard,601266,Tim And Pam,Other neighborhoods,Phinney Ridge,47.67757,-122.36172,Entire home/apt,300,30,28,2021-04-07,0.32,1,253,2,
210316,"""The 5-Star House""  #9 The red room",2438665,Flor,Other neighborhoods,Crown Hill,47.70085,-122.367,Private room,60,30,75,2020-11-01,0.99,4,116,1,STR-OPLI-19-002472
217142,Location! Monthly Discounts  spacious 2Bd/2Ba,8243075,Lori,Downtown,Belltown,47.61576,-122.34667,Entire home/apt,259,2,204,2021-09-21,2.35,4,42,21,STR-OPLI-19-001535
224763,Location! Low Monthly Rates.  Luxury w/pkg inc.,8243075,Lori,Downtown,Belltown,47.61519,-122.34948,Entire home/apt,193,2,136,2021-08-18,1.52,4,30,15,STR-OPLI-19-001600
226536,Serene Room in Sunny Cottage near Discovery Park,209571,Cheryl,Magnolia,Lawton Park,47.66133,-122.40088,Private room,52,1,226,2021-09-22,8.87,2,348,8,STR-OPLI-19-000684
226677,Sunny Parisian room w/ best cooling memoryfoam bed,30559,Angielena,Beacon Hill,Mid-Beacon Hill,47.55062,-122.31827,Private room,55,2,172,2021-09-13,2.30,9,340,8,STR-OPLI-19-003039
233502,West Seattle room with private bath,1215564,Danielle,West Seattle,North Admiral,47.57178,-122.37466,Private room,60,30,1,2012-06-06,0.01,1,236,0,
241016,Scandinavian Queen Anne Home,956883,Maija,Queen Anne,North Queen Anne,47.6411,-122.37446,Entire home/apt,309,2,106,2021-08-16,2.81,3,177,3,STR-OPLI-21-000431
241032,Stylish Queen Anne Apartment,956883,Maija,Queen Anne,West Queen Anne,47.63626,-122.37083,Entire home/apt,165,30,299,2019-09-09,2.63,3,364,0,
254340,Phinney Oasis-Ballard/Phinney,1336214,Kim,Other neighborhoods,Phinney Ridge,47.67632,-122.36019,Entire home/apt,95,30,161,2019-10-31,1.38,1,159,0,
260613,Charming Hideaway in North Ballard,1387754,Dot & Lucy,Ballard,Whittier Heights,47.687,-122.36697,Entire home/apt,125,3,94,2021-09-21,3.91,1,333,32,STR-OPLI-19-003396
277416,Near Space Needle! Sunny 1 bd/1 ba WiFi CLEAN Prkg,8243075,Lori,Downtown,Belltown,47.61477,-122.34803,Entire home/apt,193,2,144,2021-09-13,2.93,4,18,11,STR-OPLI-19-001537
278830,Shining Starlight house in Seattle,1452570,Emily,Queen Anne,West Queen Anne,47.6341,-122.37296,Entire home/apt,440,2,75,2020-02-16,1.61,4,278,0,STR-OPLI-19-002230
282934,Seattle Sojourn Guest Suite,781716,Andra,Other neighborhoods,Fremont,47.65857,-122.35409,Entire home/apt,140,4,107,2021-08-24,1.05,1,16,7,STR-OPLI-19-000054
284087,The Nest in the Heart of the City,721070,Suzanne,Downtown,First Hill,47.6121,-122.33,Entire home/apt,162,3,245,2021-09-12,2.83,1,295,36,STR-OPLI-19-002053
303277,Hip Condo Private Deck East Lake Union - Long Term,1204187,Kara,Cascade,Eastlake,47.64424,-122.32397,Entire home/apt,165,30,12,2021-02-12,0.10,1,278,2,
